Best parameters set found on development set:

{'alpha': 0.001, 'hidden_layer_sizes': 13, 'random_state': 1}
0.186 (+/-0.247) for {'alpha': 1e-05, 'hidden_layer_sizes': 13, 'random_state': 0}
0.263 (+/-0.194) for {'alpha': 1e-05, 'hidden_layer_sizes': 13, 'random_state': 1}
0.162 (+/-0.307) for {'alpha': 1e-05, 'hidden_layer_sizes': 14, 'random_state': 0}
0.254 (+/-0.196) for {'alpha': 1e-05, 'hidden_layer_sizes': 14, 'random_state': 1}
0.240 (+/-0.050) for {'alpha': 1e-06, 'hidden_layer_sizes': 5, 'random_state': 0}
0.017 (+/-0.014) for {'alpha': 1e-06, 'hidden_layer_sizes': 5, 'random_state': 1}
0.187 (+/-0.241) for {'alpha': 1e-06, 'hidden_layer_sizes': 6, 'random_state': 0}
0.240 (+/-0.302) for {'alpha': 1e-06, 'hidden_layer_sizes': 6, 'random_state': 1}
0.205 (+/-0.112) for {'alpha': 1e-06, 'hidden_layer_sizes': 7, 'random_state': 0}
0.214 (+/-0.050) for {'alpha': 1e-06, 'hidden_layer_sizes': 7, 'random_state': 1}
0.165 (+/-0.042) for {'alpha': 1e-06, 'hidden_layer_sizes': 8, 'random_state': 0}
0.201 (+/-0.041) for {'alpha': 1e-06, 'hidden_layer_sizes': 8, 'random_state': 1}
0.236 (+/-0.081) for {'alpha': 1e-06, 'hidden_layer_sizes': 9, 'random_state': 0}
0.176 (+/-0.026) for {'alpha': 1e-06, 'hidden_layer_sizes': 9, 'random_state': 1}
0.130 (+/-0.353) for {'alpha': 1e-06, 'hidden_layer_sizes': 10, 'random_state': 0}
0.219 (+/-0.046) for {'alpha': 1e-06, 'hidden_layer_sizes': 10, 'random_state': 1}
0.247 (+/-0.062) for {'alpha': 1e-06, 'hidden_layer_sizes': 11, 'random_state': 0}
0.212 (+/-0.019) for {'alpha': 1e-06, 'hidden_layer_sizes': 11, 'random_state': 1}
0.212 (+/-0.027) for {'alpha': 1e-06, 'hidden_layer_sizes': 12, 'random_state': 0}
0.180 (+/-0.242) for {'alpha': 1e-06, 'hidden_layer_sizes': 12, 'random_state': 1}
0.175 (+/-0.249) for {'alpha': 1e-06, 'hidden_layer_sizes': 13, 'random_state': 0}
0.171 (+/-0.138) for {'alpha': 1e-06, 'hidden_layer_sizes': 13, 'random_state': 1}
0.055 (+/-0.030) for {'alpha': 1e-06, 'hidden_layer_sizes': 14, 'random_state': 0}
0.145 (+/-0.040) for {'alpha': 1e-06, 'hidden_layer_sizes': 14, 'random_state': 1}
0.240 (+/-0.050) for {'alpha': 1e-07, 'hidden_layer_sizes': 5, 'random_state': 0}
0.017 (+/-0.014) for {'alpha': 1e-07, 'hidden_layer_sizes': 5, 'random_state': 1}
0.187 (+/-0.241) for {'alpha': 1e-07, 'hidden_layer_sizes': 6, 'random_state': 0}
0.114 (+/-0.233) for {'alpha': 1e-07, 'hidden_layer_sizes': 6, 'random_state': 1}
0.205 (+/-0.112) for {'alpha': 1e-07, 'hidden_layer_sizes': 7, 'random_state': 0}
0.214 (+/-0.050) for {'alpha': 1e-07, 'hidden_layer_sizes': 7, 'random_state': 1}
0.165 (+/-0.042) for {'alpha': 1e-07, 'hidden_layer_sizes': 8, 'random_state': 0}
0.201 (+/-0.041) for {'alpha': 1e-07, 'hidden_layer_sizes': 8, 'random_state': 1}
0.236 (+/-0.081) for {'alpha': 1e-07, 'hidden_layer_sizes': 9, 'random_state': 0}
0.176 (+/-0.026) for {'alpha': 1e-07, 'hidden_layer_sizes': 9, 'random_state': 1}
0.003 (+/-0.014) for {'alpha': 1e-07, 'hidden_layer_sizes': 10, 'random_state': 0}
0.219 (+/-0.046) for {'alpha': 1e-07, 'hidden_layer_sizes': 10, 'random_state': 1}
0.252 (+/-0.078) for {'alpha': 1e-07, 'hidden_layer_sizes': 11, 'random_state': 0}
0.212 (+/-0.019) for {'alpha': 1e-07, 'hidden_layer_sizes': 11, 'random_state': 1}
0.211 (+/-0.027) for {'alpha': 1e-07, 'hidden_layer_sizes': 12, 'random_state': 0}
0.180 (+/-0.242) for {'alpha': 1e-07, 'hidden_layer_sizes': 12, 'random_state': 1}
0.205 (+/-0.304) for {'alpha': 1e-07, 'hidden_layer_sizes': 13, 'random_state': 0}
0.214 (+/-0.211) for {'alpha': 1e-07, 'hidden_layer_sizes': 13, 'random_state': 1}
0.104 (+/-0.203) for {'alpha': 1e-07, 'hidden_layer_sizes': 14, 'random_state': 0}
0.211 (+/-0.178) for {'alpha': 1e-07, 'hidden_layer_sizes': 14, 'random_state': 1}
0.240 (+/-0.050) for {'alpha': 1e-08, 'hidden_layer_sizes': 5, 'random_state': 0}
0.017 (+/-0.014) for {'alpha': 1e-08, 'hidden_layer_sizes': 5, 'random_state': 1}
0.187 (+/-0.241) for {'alpha': 1e-08, 'hidden_layer_sizes': 6, 'random_state': 0}
0.129 (+/-0.228) for {'alpha': 1e-08, 'hidden_layer_sizes': 6, 'random_state': 1}
0.205 (+/-0.112) for {'alpha': 1e-08, 'hidden_layer_sizes': 7, 'random_state': 0}
0.214 (+/-0.050) for {'alpha': 1e-08, 'hidden_layer_sizes': 7, 'random_state': 1}
0.165 (+/-0.042) for {'alpha': 1e-08, 'hidden_layer_sizes': 8, 'random_state': 0}
0.201 (+/-0.041) for {'alpha': 1e-08, 'hidden_layer_sizes': 8, 'random_state': 1}
0.236 (+/-0.081) for {'alpha': 1e-08, 'hidden_layer_sizes': 9, 'random_state': 0}
0.176 (+/-0.026) for {'alpha': 1e-08, 'hidden_layer_sizes': 9, 'random_state': 1}
0.070 (+/-0.262) for {'alpha': 1e-08, 'hidden_layer_sizes': 10, 'random_state': 0}
0.219 (+/-0.046) for {'alpha': 1e-08, 'hidden_layer_sizes': 10, 'random_state': 1}
0.252 (+/-0.078) for {'alpha': 1e-08, 'hidden_layer_sizes': 11, 'random_state': 0}
0.212 (+/-0.019) for {'alpha': 1e-08, 'hidden_layer_sizes': 11, 'random_state': 1}
0.211 (+/-0.027) for {'alpha': 1e-08, 'hidden_layer_sizes': 12, 'random_state': 0}
0.180 (+/-0.242) for {'alpha': 1e-08, 'hidden_layer_sizes': 12, 'random_state': 1}
0.177 (+/-0.308) for {'alpha': 1e-08, 'hidden_layer_sizes': 13, 'random_state': 0}
0.135 (+/-0.067) for {'alpha': 1e-08, 'hidden_layer_sizes': 13, 'random_state': 1}
0.169 (+/-0.342) for {'alpha': 1e-08, 'hidden_layer_sizes': 14, 'random_state': 0}
0.178 (+/-0.132) for {'alpha': 1e-08, 'hidden_layer_sizes': 14, 'random_state': 1}
0.240 (+/-0.050) for {'alpha': 1e-09, 'hidden_layer_sizes': 5, 'random_state': 0}
0.017 (+/-0.014) for {'alpha': 1e-09, 'hidden_layer_sizes': 5, 'random_state': 1}
0.187 (+/-0.241) for {'alpha': 1e-09, 'hidden_layer_sizes': 6, 'random_state': 0}
0.239 (+/-0.365) for {'alpha': 1e-09, 'hidden_layer_sizes': 6, 'random_state': 1}
0.205 (+/-0.112) for {'alpha': 1e-09, 'hidden_layer_sizes': 7, 'random_state': 0}
0.214 (+/-0.050) for {'alpha': 1e-09, 'hidden_layer_sizes': 7, 'random_state': 1}
0.165 (+/-0.042) for {'alpha': 1e-09, 'hidden_layer_sizes': 8, 'random_state': 0}
0.201 (+/-0.041) for {'alpha': 1e-09, 'hidden_layer_sizes': 8, 'random_state': 1}
0.236 (+/-0.081) for {'alpha': 1e-09, 'hidden_layer_sizes': 9, 'random_state': 0}
0.176 (+/-0.026) for {'alpha': 1e-09, 'hidden_layer_sizes': 9, 'random_state': 1}
0.152 (+/-0.315) for {'alpha': 1e-09, 'hidden_layer_sizes': 10, 'random_state': 0}
0.219 (+/-0.046) for {'alpha': 1e-09, 'hidden_layer_sizes': 10, 'random_state': 1}
0.252 (+/-0.078) for {'alpha': 1e-09, 'hidden_layer_sizes': 11, 'random_state': 0}
0.212 (+/-0.019) for {'alpha': 1e-09, 'hidden_layer_sizes': 11, 'random_state': 1}
0.212 (+/-0.028) for {'alpha': 1e-09, 'hidden_layer_sizes': 12, 'random_state': 0}
0.180 (+/-0.242) for {'alpha': 1e-09, 'hidden_layer_sizes': 12, 'random_state': 1}
0.109 (+/-0.156) for {'alpha': 1e-09, 'hidden_layer_sizes': 13, 'random_state': 0}
0.196 (+/-0.201) for {'alpha': 1e-09, 'hidden_layer_sizes': 13, 'random_state': 1}
0.244 (+/-0.266) for {'alpha': 1e-09, 'hidden_layer_sizes': 14, 'random_state': 0}
0.184 (+/-0.160) for {'alpha': 1e-09, 'hidden_layer_sizes': 14, 'random_state': 1}

Detailed classification report:

The model is trained on the full development set.
The scores are computed on the full evaluation set.

Final Performance on Test Set
MSE: 0.49161073825503354

Accuracy Score: 50.83892617449665%

F1 Score: 0.3883089770354906

              precision    recall  f1-score   support

           0       0.89      0.44      0.59       477
           1       0.26      0.78      0.39       119

   micro avg       0.51      0.51      0.51       596
   macro avg       0.57      0.61      0.49       596
weighted avg       0.76      0.51      0.55       596


