Best parameters set found on development set:

{'min_samples_leaf': 1, 'min_samples_split': 63}

Grid scores on development set:
0.679 (+/-0.083) for {'min_samples_leaf': 6, 'min_samples_split': 56}
0.682 (+/-0.084) for {'min_samples_leaf': 6, 'min_samples_split': 57}
0.681 (+/-0.083) for {'min_samples_leaf': 6, 'min_samples_split': 58}
0.679 (+/-0.084) for {'min_samples_leaf': 6, 'min_samples_split': 59}
0.679 (+/-0.082) for {'min_samples_leaf': 6, 'min_samples_split': 60}
0.679 (+/-0.085) for {'min_samples_leaf': 6, 'min_samples_split': 61}
0.679 (+/-0.085) for {'min_samples_leaf': 6, 'min_samples_split': 62}
0.681 (+/-0.089) for {'min_samples_leaf': 6, 'min_samples_split': 63}
0.682 (+/-0.089) for {'min_samples_leaf': 6, 'min_samples_split': 64}
0.678 (+/-0.084) for {'min_samples_leaf': 6, 'min_samples_split': 65}
0.681 (+/-0.078) for {'min_samples_leaf': 6, 'min_samples_split': 66}
0.681 (+/-0.079) for {'min_samples_leaf': 6, 'min_samples_split': 67}
0.681 (+/-0.087) for {'min_samples_leaf': 6, 'min_samples_split': 68}
0.681 (+/-0.090) for {'min_samples_leaf': 6, 'min_samples_split': 69}
0.658 (+/-0.061) for {'min_samples_leaf': 7, 'min_samples_split': 40}
0.655 (+/-0.068) for {'min_samples_leaf': 7, 'min_samples_split': 41}
0.654 (+/-0.073) for {'min_samples_leaf': 7, 'min_samples_split': 42}
0.657 (+/-0.080) for {'min_samples_leaf': 7, 'min_samples_split': 43}
0.658 (+/-0.080) for {'min_samples_leaf': 7, 'min_samples_split': 44}
0.657 (+/-0.077) for {'min_samples_leaf': 7, 'min_samples_split': 45}
0.659 (+/-0.082) for {'min_samples_leaf': 7, 'min_samples_split': 46}
0.661 (+/-0.087) for {'min_samples_leaf': 7, 'min_samples_split': 47}
0.663 (+/-0.086) for {'min_samples_leaf': 7, 'min_samples_split': 48}
0.668 (+/-0.084) for {'min_samples_leaf': 7, 'min_samples_split': 49}
0.669 (+/-0.081) for {'min_samples_leaf': 7, 'min_samples_split': 50}
0.669 (+/-0.081) for {'min_samples_leaf': 7, 'min_samples_split': 51}
0.670 (+/-0.083) for {'min_samples_leaf': 7, 'min_samples_split': 52}
0.670 (+/-0.082) for {'min_samples_leaf': 7, 'min_samples_split': 53}
